year,age,agesq,nbh,cbd,intst,lintst,price,rooms,area,land,baths,dist,ldist,wind,lprice,y81,larea,lland,y81ldist,lintstsq,nearinc,y81nrinc,rprice,lrprice
1978,48,2304,4,3000,1000,6.907800198,60000,7,1660,4578,1,10700,9.277998924,3,11.00209999,0,7.414572716,8.429017067,0,47.71770477,1,0,60000,11.00209999
1978,83,6889,4,4000,1000,6.907800198,40000,6,2612,8370,2,11000,9.305650711,3,10.59663486,0,7.867871284,9.032408714,0,47.71770477,1,0,40000,10.59663486
1978,58,3364,4,4000,1000,6.907800198,34000,6,1144,5000,1,11500,9.350102425,3,10.43411541,0,7.042286396,8.517192841,0,47.71770477,1,0,34000,10.43411541
1978,11,121,4,4000,1000,6.907800198,63900,5,1136,10000,1,11900,9.384293556,3,11.06507492,0,7.035268784,9.2103405,0,47.71770477,1,0,63900,11.06507492
1978,48,2304,4,4000,2000,7.600900173,44000,5,1868,10000,1,12100,9.400960922,3,10.69194508,0,7.532623768,9.2103405,0,57.77368164,1,0,44000,10.69194508
1978,78,6084,4,3000,2000,7.600900173,46000,6,1780,9500,3,10000,9.210339546,3,10.73639679,0,7.484368801,9.159047127,0,57.77368164,1,0,46000,10.73639679
1978,22,484,4,4000,2000,7.600900173,56000,6,1700,10878,2,11700,9.367343903,3,10.93310738,0,7.438383579,9.29449749,0,57.77368164,1,0,56000,10.93310738
1978,78,6084,4,3000,2000,7.600900173,38500,6,1556,3870,2,10200,9.230142593,3,10.55841351,0,7.349873543,8.26101017,0,57.77368164,1,0,38500,10.55841351
1978,42,1764,4,3000,2000,7.600900173,60500,8,1642,7000,2,10500,9.259131432,3,11.01039886,0,7.403670311,8.853665352,0,57.77368164,1,0,60500,11.01039886
1978,41,1681,4,3000,2000,7.600900173,55000,5,1443,7950,2,11000,9.305650711,3,10.91508865,0,7.274479389,8.980927467,0,57.77368164,1,0,55000,10.91508865
1978,78,6084,4,1000,4000,8.293999672,39000,6,1439,4990,1,8600,9.059516907,3,10.57131672,0,7.27170372,8.515191078,0,68.79042816,1,0,39000,10.57131672
